asin,battery,camera,storage
B01N9YO1DS,0.061068042,0.030176768,0.295833333
B01NB1KG8U,0.125378508,0.15593254,#
B06WP78R6X,0.103272727,0.7,#
B06WRSK754,#,#,#
B06WWLYGWW,#,#,#
B06X9HVVC5,0.082539604,0.247441748,0.169097222
B06X9X15Y8,0.237058081,#,#
B06XGLHP8V,-0.006313131,-0.030833333,#
B06XGZHSBS,0.054634208,0.148748474,0.128422619
B06XJCHZPW,#,#,#
B06XR1K6HR,0.046023421,0,0.2
B06XR8G1TX,0.067953094,0.173239338,0.4
B06XRG6S73,0.107826098,0.270050964,-0.025
B06XRJQX91,0.085190072,0.163618421,0.25
B06XRJXL3R,0.089090365,0.316666667,0.85
B06XRN4RWL,0.145833333,0,#
B06XS2GWFC,0.197660633,0.192157158,0.204072421
B06XS3CTJM,0.114796516,0.295833333,0.375
B06XS4978K,0.126330267,0.283958333,#
B06XSF5C42,0.060146932,0.105968661,0.272857143
B06XW9RMYW,0.136160072,0.254036269,#
B06XY93RFQ,0.052574003,#,#
B06XYKR7GP,0.158787879,0.25,#
B06XYMCMHD,0.126535088,0.309660895,#
B06XZPNYL7,0.325555556,0.256657648,#
B06XZRH5ZC,0.04587279,0.573333333,#
B06XZWNRC5,0.153472222,0.306944444,#
B06Y14K2C6,0.096767677,0.3875,0
B06Y14T5YW,-0.159161932,0.437452381,#
B06Y15CB1T,-0.004292929,#,#
B06Y15D68F,0.23375,#,#
B06Y16RL4W,0.134641032,0.289092322,0.259722222
B06Y17BL9Y,#,#,#
B06Y189H68,0.155979437,0.491666667,#
B06Y18MNFG,#,#,#
B06Y29N548,-0.024444444,0.7,#
B06Y2GX8K8,0.11571312,0.291090244,0.100694444
B06Y3HCFZT,0.078170595,0.368055556,0.377777778
B06ZZMX54B,#,#,#
B0714DBSNH,0.556934524,0.292638889,0.081944444
B071DQ128D,0.155961538,0.517592593,0.625
B071H9KKKF,0.161662282,0.336112795,0.197916667
B071JP8XDJ,0.077961545,0.242200721,0.189916667
B071JPQYGK,0.258333333,1,#
B071KGTRG8,-0.072777778,0.3,#
B071VGLCRX,0.066421817,0.343935185,#
B071VTYHDQ,0.061904762,0.182142857,0
B071W9WQ8M,0.127698864,#,#
B071XBH5PL,#,#,#
B071ZDQ6MV,0.173187054,0.236051765,0.152975202
B0722NN2RG,0.078974747,0.327083333,0.241666667
B0723HG35R,0.45,#,#
B0723HG3FG,0.125,0.475,#
B0724ZGB5K,0.136363636,#,#
B072B7XSVT,0.123941799,0.68125,#
B072KPG9PN,0.065038931,0.261545139,0.055092593
B072MQRRTR,#,#,#
B072N3GKSM,0.075141868,0.38792803,-0.079166667
B072QR6NKG,0.160774411,#,#
B072R77NG5,#,#,#
B072V2BNM6,0.25,-0.101979167,0
B0731HBTZ7,0.147453484,0.072234848,#
B0731KVYPN,0.057119809,0.166666667,#
B0732NTJ2M,0.091316786,0.272222222,#
B0743HD6MS,0.120359848,#,#
B0743N1S93,#,0,#
B074MJ3Y7L,0.1,0.8,#
B074P62MW8,0.149329413,0.231368975,0.116816893
B074PYHP6Q,0.6,#,#
B074VDZZKW,0.159361772,0.333142857,0.178703704
B074VFRKZG,0.248807746,0.218504241,0.285358796
B074XF6JCD,0.144957483,0.185,#
B0751KLN39,#,#,#
B07536MYBQ,0.106127986,0.310865071,0.388816327
B07579T83L,0.103958333,0.13707483,#
B0757LYR7P,#,#,#
B075FL4H89,0.204859682,0.089110105,0.026344246
B075FLG6MV,0.267525887,0.186224958,0.039588979
B075H3VWGN,0.109564394,#,#
B075QRTVNC,0.384962722,0.606114719,#
B075SKYZXY,0.095210813,0.220183983,0.1
B075ZD2WFN,0.5,0.45,#
B075ZDV79Y,0.143181818,#,#
B075ZHJ1SK,#,#,#
B075ZHWDN2,#,#,#
B07643YNY8,0.224134199,0,0.265625
B0764K8Z1H,0.2,#,#
B0766HPGYP,0.1465574,0.294276231,0.05
B0766NJPBN,0.1465574,0.294276231,0.05
B0766TPHSH,0.224753909,0.375891228,0.175
B0767538YH,0.140171239,0.286862343,0.241071429
B076BVNGZQ,0.07,0.508333333,#
B076BZ18GS,0.225,0.633333333,#
B076HVSJQR,0.110212054,0.4,#
B076KC34PM,0.385672348,0,#
B076M9RQJ2,0.132344717,0.242727273,#
B076MB4CYN,0.023970734,0.4375,#
B07753NSQZ,0.132878302,0.186017677,0
B0775451TT,0.198740778,0.205920314,0.207407407
B07755LZ67,0.137142256,0.060606061,#
B07756QYST,0.233333333,0.4,#
B0775717ZP,0.233333333,0.4,#
B077578VXH,0.41273539,0,1
B077578W38,0.103368599,0.006944444,#
B0775H5HJW,0.024204293,0.131114719,#
B077MR13HM,0.302345463,0.8,#
B077NJQPGB,0.236111111,0.5,#
B077NK4TZ7,#,#,#
B077NTKFDB,0.374404762,0.7,0.91
B077V219SV,0.235802469,0.5,#
B077XM1GZM,0.666666667,0.666666667,#
B077YTCMH9,0.146802819,0.14514558,0.108333333
B077ZKKDWK,0.283581703,0.281965618,0.119819825
B077ZMWX1W,0.186395022,0.223722608,0.181471861
B0786PRKBP,0.067460317,-0.25,#
B0787V183F,0.068709789,0.309670669,0.2875
B0788ZD69Z,0.067460317,-0.25,#
B078BP86SC,-0.2,-0.3,#
B078HL31D8,0.145327381,#,1
B078KGP5K5,0.083503788,0.322222222,0.666666667
B078RBVVCV,0.097931892,0.111,0.046875
B078SBFV72,0.194444444,#,#
B078WZ86Y9,0.013785583,0.625,#
B078YXQ38Z,0.202901466,0.285908348,0.063095238
B0791VS3N9,0.184325861,0.264374169,0.169270833
B07946VKT8,0.9,0.1525,#
B0799QJKQ5,-1,#,#
B0799ZMY6D,0.136332264,0.373567915,0.6625
B079C1K282,0.19844397,0.388482672,0.313545918
B079C2Q6MH,-0.066666667,#,#
B079H6RLKQ,0.244444444,0.205318182,#
B079HB518K,0.068248146,0.341666667,#
B079HG7TZS,0.023809524,0.55,#
B079J59FGT,-0.072083333,0.7,0.65
B079J5MKXJ,0.156319444,0.370884354,0.234155329
B079K78C1Y,-0.010512317,0.226041667,#
B079NM9SZL,0.279814815,-0.121428571,#
B079NQHRPS,0.071666667,0.020833333,0.072727273
B079RJWMZG,#,#,#
B079SQ5VHX,0.147814815,0.3375,0.1125
B079TZ8NKG,#,#,#
B079TZJF9F,#,#,#
B079X7DQ4Q,-0.033333333,0.416666667,#
B07B82VTX5,0.17734127,0.238070681,0.169444444
B07B9638J2,#,#,#
B07BBQ56WS,#,#,#
B07BBT3VXM,0,#,#
B07BBZJ4G9,0,#,#
B07BFCZYRM,0.141001574,0.480795302,0.347222222
B07BFHTJTK,-0.046984127,0.55,#
B07BHT4KGM,-0.033333333,0.416666667,#
B07BR995NC,0.125517285,0.314027778,0.183333333
B07BZXDZKN,0.7,0.6,#
B07C4W6KR9,0,0.03125,#
B07C5X8Q3K,0.413333333,#,#
B07C61QBL7,0.228809524,#,#
B07C65MFKH,0.2375,#,#
B07C65XFBB,-0.033901515,#,#
B07C6FCC8G,0.247434067,0.363751497,0.163501401
B07CGMQDXW,0.181158009,0.289393939,#
B07CH2FZW5,-0.166666667,0.246190476,#
B07CHW5KMY,0.175150326,0.281091208,0.29047619
B07CHWMYHP,0.280821634,0.258350577,0.381746032
B07CHWTWYP,0.405388889,0.420666667,0
B07CMBB6PH,0.220393419,0.42366379,0.200553902
B07CT4JC7J,0.153484848,0.436636905,#
B07CZR8YV4,0.237058081,#,#
B07D6TQP6F,0.198740778,0.205920314,0.207407407
B07DCB61LG,0.150904934,0.316516595,0.533333333
B07DD71K4D,0.143626314,0.134301483,0.138571429
B07DDD8PNQ,0.159789187,0.112329145,0.044217687
B07DF9R73K,0.183392426,0.353096678,0.21875
B07DP4X68W,0.3,#,#
B07DXCGD56,#,#,#
B07DZMB1ZK,0.120378788,0.125,#
B07F3YGL26,#,#,#
B07FBQT1S5,0.048958333,#,#
B07FKD3H9Q,#,#,#
B07FKWT3JP,#,0.152083333,#
B07FMD7MRX,#,#,#
B07FSD86KD,0.078373016,#,#
B07G3RDDXT,#,#,#
B07G7FG26S,0.180383117,-0.003125,#
B07G7QZKBG,0,0,#
B07G8KK4XQ,0.255681818,#,#
B07G9PVX51,0.125,0.455681818,-0.05
B07GDW2634,#,0.316666667,#
B07GGGTT78,#,#,#
B07GL6W1NR,0.218081276,0.196875,0.59375
B07GPNGWNK,0.400164352,0.478293899,0.125
